Date,Open,High,Low,Close,Volume,Status
2020-01-02,122.01,122.4,119.7096,121.67,2278682,ok
2020-01-03,119.91,120.89,117.65,118.65,2339614,ok
2020-01-06,117.04,117.46,115.08,116.56,3177401,ok
2020-01-07,117.17,118.4799,116.3,117.67,2062950,ok
2020-01-08,118.08,120.8697,117.59,119.54,2139042,ok
2020-01-09,120.9,121.23,117.6,119.65,1935951,ok
2020-01-10,121.29,121.5,119.64,120.08,2430118,ok
2020-01-13,121.19,125.2255,121.06,124.51,2961308,ok
2020-01-14,125.27,125.75,122.61,123.34,2184572,ok
2020-01-15,123.0,123.2542,119.92,120.42,2165608,ok
2020-01-16,121.72,123.34,121.45,123.09,1667560,ok
2020-01-17,123.94,124.75,123.0187,124.17,1979440,ok
2020-01-21,124.01,125.47,123.6,123.8,2158485,ok
2020-01-22,124.68,126.93,124.55,124.9,2596994,ok
2020-01-23,125.43,128.3284,124.405,128.19,4327607,ok
2020-01-24,126.5,128.48,120.79,122.31,7203654,ok
2020-01-27,118.47,118.5,116.2,116.88,3085998,ok
2020-01-28,118.11,121.07,117.8,119.79,2205684,ok
2020-01-29,120.0,120.335,117.8,117.89,1612447,ok
2020-01-30,116.57,118.5,114.1,116.23,2982208,ok
2020-01-31,115.5,115.74,112.72,113.15,2448397,ok
2020-02-03,113.12,115.49,112.7,115.03,1721964,ok
2020-02-04,117.89,118.74,116.655,117.96,1624203,ok
2020-02-05,119.82,120.67,118.14,119.64,1275072,ok
2020-02-06,119.66,120.32,116.52,117.68,1808943,ok
2020-02-07,116.42,116.84,113.94,113.94,2582830,ok
2020-02-10,112.46,116.28,111.45,116.28,1630371,ok
2020-02-11,117.38,120.29,117.13,119.17,1694743,ok
2020-02-12,120.61,123.28,120.435,123.05,2002255,ok
2020-02-13,121.84,124.515,121.0506,122.59,2151572,ok
2020-02-14,122.84,123.63,118.25,118.99,1815246,ok
2020-02-18,116.07,118.785,115.6,116.77,2444637,ok
2020-02-19,118.08,120.41,117.75,119.14,1752058,ok
2020-02-20,118.78,119.5,115.97,117.5,1363602,ok
2020-02-21,116.85,117.0,113.47,114.63,1894858,ok
2020-02-24,110.04,112.89,108.8,111.19,3102694,ok
2020-02-25,111.98,112.68,105.8,106.17,2843426,ok
2020-02-26,106.97,109.44,103.73,103.81,2759410,ok
2020-02-27,100.5,101.68,97.33,97.56,3630320,ok
2020-02-28,91.96,100.22,91.8,100.18,4766906,ok
2020-03-02,101.29,104.33,98.7501,104.27,2899813,ok
2020-03-03,104.29,106.75,99.45,99.63,2428854,ok
2020-03-04,102.01,103.37,100.12,103.36,5037873,ok
2020-03-05,100.96,101.269,97.92,98.59,3527027,ok
2020-03-06,94.74,97.9,93.335,95.71,3053337,ok
2020-03-09,87.3252,93.15,86.26,88.32,3867142,ok
2020-03-10,91.98,95.79,89.63,95.79,3596905,ok
2020-03-11,93.14,93.76,88.68,89.84,3081665,ok
2020-03-12,83.24,90.357,80.16,80.55,3923097,ok
2020-03-13,85.65,87.0,78.82,83.0,5730558,ok
2020-03-16,72.69,79.82,67.9,67.9,4192807,ok
2020-03-17,70.0,80.71,69.47,77.78,4974213,ok
2020-03-18,71.13,77.67,69.31,72.1,3246630,ok
2020-03-19,72.14,79.72,72.14,77.28,2991128,ok
2020-03-20,80.0,81.49,73.45,73.67,2999948,ok
2020-03-23,74.17,76.08,71.0,74.95,3622962,ok
2020-03-24,79.69,87.61,78.77,87.29,3889938,ok
2020-03-25,87.47,92.5099,84.7919,85.34,3938114,ok
2020-03-26,86.6,93.07,85.8301,92.96,4194266,ok
2020-03-27,90.27,90.27,86.22,87.09,3329452,ok
2020-03-30,88.52,90.55,86.14,90.11,2122094,ok
2020-03-31,89.97,94.2838,88.92,89.38,3250849,ok
2020-04-01,86.33,89.2,81.33,82.45,2898456,ok
2020-04-02,81.84,84.1,81.1,83.37,2256435,ok
2020-04-03,82.75,83.725,79.51,80.3,2081671,ok
2020-04-06,84.04,90.22,83.68,89.8,2683685,ok
2020-04-07,93.15,93.88,89.56,89.93,2232999,ok
2020-04-08,91.6,94.4,89.14,93.0,2381920,ok
2020-04-09,94.85,95.3,88.79,89.95,2804301,ok
2020-04-13,90.0,90.87,88.66,90.47,1938847,ok
2020-04-14,95.51,95.87,91.63,95.69,2896116,ok
2020-04-15,93.4555,93.94,90.11,92.87,1999689,ok
2020-04-16,93.7,95.56,92.245,95.01,1520010,ok
2020-04-17,96.936,97.63,93.5,95.4,1961690,ok
2020-04-20,93.84,94.91,92.25,92.53,1387528,ok
2020-04-21,91.49,92.14,88.08,88.1,1810967,ok
2020-04-22,91.01,93.409,90.71,92.94,2272502,ok
2020-04-23,93.15,94.6,92.39,92.79,1459292,ok
2020-04-24,93.38,96.78,92.45,96.51,1458120,ok
2020-04-27,97.8,99.45,97.557,98.38,2113155,ok
2020-04-28,101.0,103.85,100.23,100.67,2204317,ok
2020-04-29,102.34,106.85,102.34,106.22,2051845,ok
2020-04-30,105.81,105.96,103.13,103.88,2552593,ok
2020-05-01,100.79,101.71,98.4,98.83,2358906,ok
2020-05-04,98.2,100.25,96.73,99.615,3376770,ok
2020-05-05,104.05,108.53,103.24,104.71,5330002,ok
2020-05-06,106.58,108.15,105.41,105.9,3021437,ok
2020-05-07,107.4671,108.29,105.78,106.19,1565044,ok
2020-05-08,108.2,111.29,107.01,111.22,2124065,ok
2020-05-11,109.94,111.6,108.61,110.41,2188578,ok
2020-05-12,111.5,112.7362,108.15,108.15,1811964,ok
2020-05-13,108.57,109.36,104.17,106.15,2097103,ok
2020-05-14,104.9,108.46,102.32,108.35,2142762,ok
2020-05-15,104.5,106.56,103.7,106.22,2033356,ok
2020-05-18,109.34,113.52,108.98,112.69,2137186,ok
2020-05-19,112.36,115.52,112.35,112.55,1657778,ok
2020-05-20,114.44,117.54,113.62,117.38,1772925,ok
2020-05-21,117.01,118.18,113.92,114.13,1305617,ok
2020-05-22,114.83,117.72,113.141,117.02,1506290,ok
2020-05-26,120.0,121.38,117.39,117.72,1617577,ok
2020-05-27,118.13,119.185,114.59,119.03,2112016,ok
2020-05-28,118.8,120.255,114.7301,115.47,1999721,ok
2020-05-29,115.87,119.43,114.79,118.54,2645310,ok
2020-06-01,118.15,119.62,116.81,119.1,1125437,ok
2020-06-02,119.61,123.91,118.68,123.77,2027443,ok
2020-06-03,125.0,128.5,124.76,127.26,2222058,ok
2020-06-04,126.16,128.77,126.16,128.67,2216327,ok
2020-06-05,130.61,137.875,130.5,136.16,3555309,ok
2020-06-08,137.05,138.22,132.76,134.74,2715503,ok
2020-06-09,133.6,136.115,132.11,134.51,2019385,ok
2020-06-10,135.07,135.4,131.64,131.9,2488466,ok
2020-06-11,127.69,128.77,123.06,123.38,2959055,ok
2020-06-12,127.16,128.2199,123.5,126.91,2438984,ok
2020-06-15,123.38,127.3088,122.83,127.24,2376016,ok
2020-06-16,131.83,133.365,125.79,128.39,2515172,ok
2020-06-17,129.84,131.98,129.18,130.74,1796002,ok
2020-06-18,130.23,130.97,128.32,129.1,1424332,ok
2020-06-19,132.84,132.84,126.51,127.35,3667783,ok
2020-06-22,127.16,128.21,125.32,127.58,1578790,ok
2020-06-23,128.764,129.73,127.59,128.35,1419862,ok
2020-06-24,128.31,129.38,125.02,126.41,2394036,ok
2020-06-25,126.67,127.565,124.8,127.3,1339597,ok
2020-06-26,126.6,128.14,124.9,125.85,2292308,ok
2020-06-29,126.1357,126.4,123.41,126.0,1069190,ok
2020-06-30,125.94,128.39,125.42,127.86,1929154,ok
2020-07-01,127.7,127.7,125.8,125.85,1371711,ok
2020-07-02,127.52,130.05,127.285,128.42,1731960,ok
2020-07-06,130.89,133.28,130.22,131.45,1460538,ok
