Date,Open,High,Low,Close,Volume,Status
2020-01-02,62.99,64.05,62.95,63.83,5267495,ok
2020-01-03,62.59,63.27,62.33,63.0,5092971,ok
2020-01-06,61.36,62.58,61.13,62.57,5909080,ok
2020-01-07,64.57,65.49,63.66,64.59,10427413,ok
2020-01-08,64.56,68.0,64.15,67.6,11912207,ok
2020-01-09,68.22,68.3099,66.7,67.93,8747080,ok
2020-01-10,68.46,69.51,67.89,67.99,6706477,ok
2020-01-13,68.24,69.05,67.82,68.66,9771545,ok
2020-01-14,68.99,69.28,68.1,68.17,6082749,ok
2020-01-15,68.54,71.0,68.5,70.36,9214619,ok
2020-01-16,70.95,71.0,69.19,69.52,6087219,ok
2020-01-17,69.84,70.3,69.19,69.38,4960178,ok
2020-01-21,69.2,69.62,68.31,68.31,4912861,ok
2020-01-22,68.92,70.047,68.69,68.69,4916474,ok
2020-01-23,68.86,69.44,67.55,69.29,4552678,ok
2020-01-24,70.63,71.92,70.02,71.14,10976676,ok
2020-01-27,68.39,72.45,68.34,71.05,11085077,ok
2020-01-28,71.47,74.98,71.03,74.8,15597155,ok
2020-01-29,74.5,77.07,74.24,76.16,11956265,ok
2020-01-30,75.42,76.39,74.06,76.1,8730012,ok
2020-01-31,75.8,76.38,74.33,74.69,7514187,ok
2020-02-03,74.89,79.805,74.6,79.8,15190120,ok
2020-02-04,79.9,81.68,79.25,80.9,10405833,ok
2020-02-05,81.98,82.1,77.84,78.25,10671601,ok
2020-02-06,78.66,79.2,77.8217,78.51,6172287,ok
2020-02-07,77.8,80.0,77.34,78.86,4650625,ok
2020-02-10,79.6,80.62,78.9,80.17,4150161,ok
2020-02-11,80.56,81.45,79.61,79.88,3973060,ok
2020-02-12,80.01,80.9059,79.61,80.0,3574922,ok
2020-02-13,79.3,82.54,79.08,80.99,6872117,ok
2020-02-14,81.39,82.59,81.01,81.86,5073161,ok
2020-02-18,81.68,82.98,81.3508,82.42,4730556,ok
2020-02-19,83.01,86.48,82.93,85.24,9115010,ok
2020-02-20,85.23,87.25,80.3,85.7,12070033,ok
2020-02-21,85.63,86.21,82.725,83.49,7744995,ok
2020-02-24,76.57,80.8451,76.07,80.21,11071534,ok
2020-02-25,80.74,81.3999,75.79,77.05,9425262,ok
2020-02-26,77.68,79.0775,76.0,76.59,11305000,ok
2020-02-27,81.39,85.9354,79.05,79.31,35935010,ok
2020-02-28,76.44,84.15,76.42,83.33,23486738,ok
2020-03-02,82.8,84.42,79.57,80.67,17799995,ok
2020-03-03,80.49,80.6,75.81,78.84,18049732,ok
2020-03-04,78.35,79.49,75.82,79.26,13374580,ok
2020-03-05,77.78,79.02,75.66,76.32,11269412,ok
2020-03-06,75.03,75.94,70.27,73.09,16409445,ok
2020-03-09,67.21,67.41,63.33,65.73,16418442,ok
2020-03-10,68.32,68.56,63.37,67.24,11806908,ok
2020-03-11,66.35,66.35,60.82,62.44,13632442,ok
2020-03-12,55.0,58.045,52.9701,53.57,19529238,ok
2020-03-13,56.74,57.79,52.31,57.77,14666101,ok
2020-03-16,49.25,49.25,40.0,41.27,27721253,ok
2020-03-17,43.79,45.2917,39.0,44.73,22695550,ok
2020-03-18,41.03,42.0805,32.33,39.5,27154641,ok
2020-03-19,40.18,47.42,37.0,40.0,24555613,ok
2020-03-20,41.85,43.84,37.8,38.09,26896774,ok
2020-03-23,38.47,40.55,36.11,40.01,21783449,ok
2020-03-24,43.5,48.88,42.56,46.31,26174687,ok
2020-03-25,50.29,58.1,49.53,52.39,34929309,ok
2020-03-26,53.79,59.25,53.78,56.03,23628715,ok
2020-03-27,54.0,54.4173,51.48,53.34,14655619,ok
2020-03-30,52.9,55.44,51.5301,55.0,12054281,ok
2020-03-31,54.69,55.24,51.135,52.38,18349363,ok
2020-04-01,49.78,50.01,46.05,46.81,16596388,ok
2020-04-02,46.33,48.03,45.0,45.88,12871451,ok
2020-04-03,46.02,46.68,42.33,43.72,18748622,ok
2020-04-06,47.22,51.1,46.19,50.42,25521719,ok
2020-04-07,54.78,54.91,49.7,50.31,17104987,ok
2020-04-08,51.81,57.75,51.81,57.04,24785127,ok
2020-04-09,58.88,64.94,58.5,59.21,30870886,ok
2020-04-13,60.1,60.1,56.12,59.42,15199517,ok
2020-04-14,60.02,62.61,59.6145,62.41,17905475,ok
2020-04-15,59.67,61.76,59.33,61.38,12468779,ok
