Date,Open,High,Low,Close,Volume,Status
2020-01-02,326.0,326.94,322.57,326.37,1151951,ok
2020-01-03,321.48,325.29,321.33,322.82,819552,ok
2020-01-06,319.84,325.33,318.65,325.14,1009999,ok
2020-01-07,325.43,329.24,324.98,326.98,918625,ok
2020-01-08,326.18,330.59,325.22,327.5,939113,ok
2020-01-09,329.38,330.8572,327.27,329.61,901993,ok
2020-01-10,331.38,331.9778,327.7,328.73,801478,ok
2020-01-13,328.89,332.09,326.71,332.02,1379111,ok
2020-01-14,330.47,335.09,328.04,332.8,1069766,ok
2020-01-15,333.0,336.89,333.0,335.2,1350594,ok
2020-01-16,337.2,338.21,334.85,336.74,842081,ok
2020-01-17,337.37,339.34,335.27,339.19,1100380,ok
2020-01-21,339.6,341.71,336.78,337.26,1340702,ok
2020-01-22,337.78,342.26,337.53,340.05,922525,ok
2020-01-23,339.52,339.89,332.87,335.38,1213797,ok
2020-01-24,337.12,337.705,331.52,333.68,945834,ok
2020-01-27,327.36,332.62,326.71,330.96,1236336,ok
2020-01-28,332.23,334.44,329.22,333.26,1666977,ok
2020-01-29,335.63,337.64,333.39,333.89,1434486,ok
2020-01-30,322.0,325.0,317.0,319.86,3670005,ok
2020-01-31,322.23,322.98,310.915,313.19,2623662,ok
2020-02-03,316.81,321.56,315.11,318.34,2693936,ok
2020-02-04,321.84,328.64,321.01,325.96,2019715,ok
2020-02-05,330.26,333.65,329.14,332.49,1786603,ok
2020-02-06,333.25,334.45,331.46,332.0,1636231,ok
2020-02-07,330.0,330.44,324.831,326.21,1577295,ok
2020-02-10,324.57,334.735,324.57,333.94,1781619,ok
2020-02-11,336.56,338.17,335.01,337.78,1808439,ok
2020-02-12,338.97,340.945,333.855,334.57,1948439,ok
2020-02-13,333.5,337.41,331.5,335.59,1560072,ok
2020-02-14,336.56,339.4,335.05,339.19,1467719,ok
2020-02-18,338.13,338.35,334.505,337.37,1462390,ok
2020-02-19,338.09,340.2925,335.31,339.74,1189387,ok
2020-02-20,340.0,341.35,333.2,336.06,1505657,ok
2020-02-21,333.91,335.6,333.1,334.94,1540092,ok
