Date,Open,High,Low,Close,Volume,Status
2020-01-02,63.96,64.02,63.305,63.7,1715120,ok
2020-01-03,63.12,63.61,62.87,63.28,1741148,ok
2020-01-06,62.99,63.53,62.99,63.38,2234589,ok
2020-01-07,63.87,64.14,63.54,63.69,3368269,ok
2020-01-08,63.7,64.06,63.37,63.82,3026765,ok
2020-01-09,64.16,64.34,63.72,64.25,3306492,ok
2020-01-10,64.68,66.19,64.5,65.34,4468167,ok
2020-01-13,65.4,65.71,64.655,65.53,2709906,ok
2020-01-14,65.54,65.87,65.29,65.58,2884439,ok
2020-01-15,65.61,66.155,65.22,65.88,2947101,ok
2020-01-16,66.15,67.17,65.97,67.1,2614386,ok
2020-01-17,67.2,67.62,66.69,67.31,4423076,ok
2020-01-21,67.29,67.41,66.4,66.82,2375509,ok
2020-01-22,66.94,67.5,66.72,67.46,1989903,ok
2020-01-23,67.34,67.95,67.1548,67.77,2238521,ok
2020-01-24,68.0,68.01,66.925,67.1,2349370,ok
2020-01-27,66.56,67.055,66.33,66.6,2239543,ok
2020-01-28,66.61,67.11,66.61,66.88,2714658,ok
2020-01-29,66.74,66.91,66.26,66.55,1849261,ok
2020-01-30,66.3,67.14,65.8,67.01,2494275,ok
2020-01-31,66.83,67.48,66.21,66.6,3366326,ok
2020-02-03,68.87,68.93,67.39,67.42,4519514,ok
2020-02-04,67.62,69.44,67.62,68.88,5786020,ok
2020-02-05,69.25,69.74,68.8,68.95,2919153,ok
2020-02-06,69.42,69.54,68.8,69.45,4301192,ok
2020-02-07,69.31,69.66,68.88,68.905,2392872,ok
2020-02-10,68.82,69.48,68.82,69.17,3272402,ok
2020-02-11,69.26,69.45,68.8,69.15,2160610,ok
2020-02-12,69.19,69.6,68.61,69.25,1562859,ok
2020-02-13,69.25,69.83,69.145,69.69,1945124,ok
2020-02-14,69.68,69.94,69.4,69.86,2659304,ok
2020-02-18,69.43,69.97,69.36,69.6,2386648,ok
2020-02-19,69.72,70.52,69.6,70.085,3222426,ok
2020-02-20,69.83,70.45,69.0,70.4,3325159,ok
2020-02-21,70.02,70.2,69.45,69.74,2973277,ok
2020-02-24,69.67,70.19,67.79,68.19,3311028,ok
2020-02-25,68.38,68.51,66.44,66.62,2842291,ok
2020-02-26,67.11,67.75,65.87,65.88,3500876,ok
2020-02-27,65.74,65.94,63.44,63.74,7126841,ok
2020-02-28,64.82,65.04,61.22,62.41,7217468,ok
2020-03-02,62.12,64.84,61.28,64.77,4547354,ok
2020-03-03,64.29,66.17,63.13,63.78,5292032,ok
2020-03-04,65.02,68.14,64.53,68.05,6529946,ok
2020-03-05,66.37,68.83,66.0827,67.13,5455410,ok
2020-03-06,64.83,66.45,64.34,66.19,6143795,ok
2020-03-09,62.07,62.97,61.05,61.86,5469056,ok
2020-03-10,63.5,66.21,62.91,66.13,8481121,ok
2020-03-11,64.0,64.74,60.49,61.81,6512866,ok
2020-03-12,58.0,60.79,56.63,57.39,7600501,ok
2020-03-13,59.8,62.5,58.59,62.39,7748602,ok
2020-03-16,56.2,60.87,54.78,57.44,6075304,ok
2020-03-17,58.83,60.445,57.61,59.74,6056427,ok
2020-03-18,57.63,57.63,50.51,55.89,6467035,ok
2020-03-19,55.71,57.15,51.51,54.32,6263115,ok
2020-03-20,55.05,55.83,50.06,52.1,5791764,ok
2020-03-23,52.11,53.34,50.75,50.97,5705959,ok
2020-03-24,53.53,54.47,51.39,53.73,7752714,ok
2020-03-25,53.71,55.1,52.66,53.66,4715940,ok
2020-03-26,54.0,58.33,53.8241,57.84,5455554,ok
2020-03-27,56.09,58.09,56.0,56.39,3997889,ok
2020-03-30,56.17,58.32,55.6,58.0,3625184,ok
2020-03-31,56.08,58.0,55.96,56.26,2879444,ok
2020-04-01,54.37,54.48,52.73,53.1,3815873,ok
2020-04-02,52.71,55.2,52.39,55.06,3088078,ok
2020-04-03,54.52,54.93,53.67,54.22,2787089,ok
2020-04-06,56.67,58.31,55.46,58.07,4762942,ok
2020-04-07,59.85,60.53,58.23,58.41,4299646,ok
2020-04-08,58.16,60.55,57.925,60.26,2198107,ok
2020-04-09,60.48,61.35,59.83,60.51,2559244,ok
2020-04-13,60.26,60.59,58.7,59.53,2706522,ok
2020-04-14,60.8,64.44,60.11,64.41,4836784,ok
2020-04-15,62.48,63.12,61.68,62.29,3491151,ok
2020-04-16,63.02,63.13,61.23,61.87,2102276,ok
2020-04-17,62.57,63.13,61.89,62.19,3174567,ok
2020-04-20,61.8,62.04,60.91,61.38,2852906,ok
2020-04-21,59.87,60.42,58.8,59.04,2107251,ok
2020-04-22,60.1,60.58,59.15,60.12,2438391,ok
2020-04-23,60.18,60.89,59.46,59.63,1649257,ok
2020-04-24,59.76,60.635,59.1,59.8,2556036,ok
2020-04-27,60.6,60.74,59.63,60.52,2923605,ok
2020-04-28,61.27,61.485,59.29,60.14,2864653,ok
2020-04-29,60.33,62.53,59.97,62.14,2849734,ok
2020-04-30,62.34,62.7,61.135,61.81,3523129,ok
2020-05-01,61.26,61.46,59.17,59.52,1782565,ok
2020-05-04,59.24,59.58,58.73,59.21,1916137,ok
2020-05-05,59.49,61.76,59.22,60.65,2775041,ok
2020-05-06,61.12,61.76,60.5,61.3,1735440,ok
2020-05-07,61.75,63.1,61.65,62.09,2214459,ok
2020-05-08,63.38,66.75,63.38,65.78,3274772,ok
2020-05-11,64.75,67.05,64.75,66.4,2054942,ok
2020-05-12,66.07,67.215,66.07,66.19,3151735,ok
2020-05-13,65.72,66.72,64.58,65.17,1951879,ok
2020-05-14,64.71,65.19,63.9,64.99,2048084,ok
2020-05-15,64.94,66.345,64.34,66.01,4498870,ok
2020-05-18,67.55,67.81,66.22,66.62,2206315,ok
2020-05-19,66.86,67.745,66.5,67.15,2105256,ok
2020-05-20,67.72,69.55,67.72,69.41,2573720,ok
2020-05-21,69.18,69.385,68.08,68.36,1865544,ok
2020-05-22,67.89,68.84,67.78,68.71,1702283,ok
2020-05-26,70.25,70.65,68.73,69.01,2904683,ok
2020-05-27,69.38,70.66,68.9901,70.6,2022233,ok
2020-05-28,71.11,71.64,69.72,70.87,3067863,ok
2020-05-29,70.79,72.17,69.84,71.91,3114537,ok
2020-06-01,72.81,73.43,72.03,72.59,1769818,ok
2020-06-02,72.62,73.0,71.49,72.08,2406723,ok
2020-06-03,72.61,73.06,72.06,72.51,1783721,ok
2020-06-04,72.34,73.11,70.29,70.92,2952076,ok
2020-06-05,71.52,72.31,70.49,72.23,2752410,ok
2020-06-08,71.41,72.11,70.17,70.4,2477515,ok
2020-06-09,69.98,70.84,69.58,70.43,1670403,ok
2020-06-10,70.72,70.99,70.01,70.44,1464798,ok
2020-06-11,69.77,70.38,67.53,67.8,2392720,ok
2020-06-12,68.77,69.29,67.79,68.3,2106100,ok
2020-06-15,67.19,68.86,66.62,68.8,1685572,ok
2020-06-16,70.43,70.5,68.47,69.5,1655539,ok
2020-06-17,69.95,70.46,69.33,69.54,1554646,ok
2020-06-18,69.51,70.1,69.2,69.71,1586363,ok
2020-06-19,70.69,70.95,69.43,70.08,4331806,ok
2020-06-22,69.54,70.86,69.44,70.27,1627316,ok
2020-06-23,70.86,71.04,69.99,70.18,1450026,ok
2020-06-24,69.55,70.13,67.87,68.07,2158481,ok
2020-06-25,68.08,69.14,67.37,69.06,1745179,ok
2020-06-26,69.2,69.3769,67.69,67.9,2046020,ok
2020-06-29,68.39,69.26,67.93,69.11,1619172,ok
2020-06-30,69.09,69.51,68.58,69.32,1928674,ok
2020-07-01,69.33,69.97,68.84,69.03,1101219,ok
2020-07-02,69.62,69.94,69.1,69.26,1413328,ok
2020-07-06,70.27,71.35,69.97,71.31,2601994,ok
2020-07-07,70.8,72.925,70.65,71.7,2539474,ok
2020-07-08,72.11,72.82,71.22,71.76,1671513,ok
2020-07-09,71.65,72.04,70.52,71.05,1525574,ok
2020-07-10,71.08,71.67,70.11,71.65,1186763,ok
2020-07-13,72.49,72.49,70.24,70.55,2627306,ok
2020-07-14,69.77,71.75,69.54,71.63,2064872,ok
2020-07-15,71.87,72.59,71.0,72.19,2210829,ok
2020-07-16,71.79,72.64,71.61,72.62,1493401,ok
2020-07-17,73.3,74.62,72.425,74.22,5765323,ok
2020-07-20,74.5,74.95,73.59,73.87,1854761,ok
2020-07-21,74.5,75.76,74.35,75.0,2560516,ok
2020-07-22,75.41,76.09,75.34,75.73,2120410,ok
2020-07-23,76.16,76.5,74.8,74.93,2198390,ok
2020-07-24,75.06,75.49,74.59,74.88,1586169,ok
2020-07-27,75.29,76.73,75.27,76.43,2027028,ok
2020-07-28,76.93,77.02,75.93,76.19,1740984,ok
2020-07-29,76.22,77.51,75.81,77.31,1488959,ok
2020-07-30,76.73,78.0,76.0144,77.82,2159356,ok
2020-07-31,77.76,78.48,76.81,78.48,2102712,ok
2020-08-03,78.69,78.79,77.15,77.84,1574099,ok
2020-08-04,77.48,78.25,77.21,78.01,2494309,ok
2020-08-05,82.03,83.96,81.31,83.1,3529695,ok
2020-08-06,82.98,83.825,82.62,83.51,2183854,ok
2020-08-07,82.95,83.84,82.42,83.19,1824589,ok
2020-08-10,83.19,83.36,81.5762,82.0,1265861,ok
2020-08-11,82.28,82.44,80.15,80.6,2323808,ok
2020-08-12,81.24,83.07,81.24,82.65,2035159,ok
2020-08-13,83.0,83.975,82.79,83.82,2197829,ok
2020-08-14,83.49,83.88,82.88,83.32,1385765,ok
2020-08-17,83.34,83.91,83.285,83.45,2608965,ok
